n,r,s,lambda,LC,OLC,ULC
20,9,1,9,False,False,False
20,9,2,8,False,False,False
20,9,3,7,False,False,False
20,9,4,6,False,False,False
20,9,5,5,False,False,False
20,9,6,4,False,False,False
20,9,7,3,False,False,False
20,9,8,2,True,True,True
20,10,1,10,False,False,False
20,10,2,9,False,False,False
20,10,3,8,False,False,False
20,10,4,7,False,False,False
20,10,5,6,False,False,False
20,10,6,5,False,False,False
20,10,7,4,False,False,False
20,10,8,3,False,False,False
20,10,9,2,True,True,True
20,11,1,11,False,False,False
20,11,2,10,False,False,False
20,11,3,9,False,False,False
20,11,4,8,False,False,False
20,11,5,7,False,False,False
20,11,6,6,False,False,False
20,11,7,5,False,False,False
20,11,8,4,False,False,False
20,11,9,3,False,False,False
20,11,10,2,True,True,True
20,12,1,12,False,False,False
20,12,2,11,False,False,False
20,12,3,10,False,False,False
20,12,4,9,False,False,False
20,12,5,8,False,False,False
20,12,6,7,False,False,False
20,12,7,6,False,False,False
20,12,8,5,False,False,False
20,12,9,4,False,False,False
20,12,10,3,False,False,False
20,12,11,2,True,True,True
20,13,1,13,True,False,False
20,13,2,12,False,False,False
20,13,3,11,False,False,False
20,13,4,10,False,False,False
20,13,5,9,False,False,False
20,13,6,8,False,False,False
20,13,7,7,False,False,False
20,13,8,6,False,False,False
20,13,9,5,False,False,False
20,13,10,4,False,False,False
20,13,11,3,False,False,False
20,13,12,2,True,True,True
20,14,1,14,True,False,False
20,14,2,13,False,False,False
20,14,3,12,False,False,False
20,14,4,11,False,False,False
20,14,5,10,False,False,False
20,14,6,9,False,False,False
20,14,7,8,False,False,False
20,14,8,7,False,False,False
20,14,9,6,False,False,False
20,14,10,5,False,False,False
20,14,11,4,False,False,False
20,14,12,3,False,False,False
20,14,13,2,True,True,True
20,15,1,15,True,False,False
20,15,2,14,False,False,False
20,15,3,13,False,False,False
20,15,4,12,False,False,False
20,15,5,11,False,False,False
20,15,6,10,False,False,False
20,15,7,9,False,False,False
20,15,8,8,False,False,False
20,15,9,7,False,False,False
20,15,10,6,False,False,False
20,15,11,5,False,False,False
20,15,12,4,False,False,False
20,15,13,3,False,False,False
20,15,14,2,True,True,True
20,16,1,16,True,False,False
20,16,2,15,False,False,False
20,16,3,14,False,False,False
20,16,4,13,False,False,False
20,16,5,12,False,False,False
20,16,6,11,False,False,False
20,16,7,10,False,False,False
20,16,8,9,False,False,False
20,16,9,8,False,False,False
20,16,10,7,False,False,False
20,16,11,6,False,False,False
20,16,12,5,False,False,False
20,16,13,4,False,False,False
20,16,14,3,False,False,False
20,16,15,2,True,True,True
20,17,1,17,True,False,False
20,17,2,16,True,False,False
20,17,3,15,False,False,False
20,17,4,14,False,False,False
20,17,5,13,False,False,False
20,17,6,12,False,False,False
20,17,7,11,False,False,False
20,17,8,10,False,False,False
20,17,9,9,False,False,False
20,17,10,8,False,False,False
20,17,11,7,False,False,False
20,17,12,6,False,False,False
20,17,13,5,False,False,False
20,17,14,4,False,False,False
20,17,15,3,False,False,False
20,17,16,2,True,True,True
20,18,1,18,True,False,False
20,18,2,17,True,False,False
20,18,3,16,False,False,False
20,18,4,15,False,False,False
20,18,5,14,False,False,False
20,18,6,13,False,False,False
20,18,7,12,False,False,False
20,18,8,11,False,False,False
20,18,9,10,False,False,False
20,18,10,9,False,False,False
20,18,11,8,False,False,False
20,18,12,7,False,False,False
20,18,13,6,False,False,False
20,18,14,5,False,False,False
20,18,15,4,False,False,False
20,18,16,3,False,False,False
20,18,17,2,True,True,True
20,19,1,19,True,True,False
20,19,2,18,True,False,False
20,19,3,17,True,False,False
20,19,4,16,True,False,False
20,19,5,15,False,False,False
20,19,6,14,False,False,False
20,19,7,13,False,False,False
20,19,8,12,False,False,False
20,19,9,11,False,False,False
20,19,10,10,False,False,False
20,19,11,9,False,False,False
20,19,12,8,False,False,False
20,19,13,7,False,False,False
20,19,14,6,False,False,False
20,19,15,5,False,False,False
20,19,16,4,False,False,False
20,19,17,3,False,False,False
20,19,18,2,True,True,True
21,2,1,2,True,True,True
21,3,1,3,False,False,False
21,3,2,2,True,True,True
21,4,1,4,False,False,False
21,4,2,3,False,False,False
21,4,3,2,True,True,True
21,5,1,5,False,False,False
21,5,2,4,False,False,False
21,5,3,3,False,False,False
21,5,4,2,True,True,True
21,6,1,6,False,False,False
21,6,2,5,False,False,False
21,6,3,4,False,False,False
21,6,4,3,False,False,False
21,6,5,2,True,True,True
21,7,1,7,False,False,False
21,7,2,6,False,False,False
21,7,3,5,False,False,False
21,7,4,4,False,False,False
21,7,5,3,False,False,False
21,7,6,2,True,True,True
21,8,1,8,False,False,False
21,8,2,7,False,False,False
21,8,3,6,False,False,False
21,8,4,5,False,False,False
21,8,5,4,False,False,False
21,8,6,3,False,False,False
21,8,7,2,True,True,True
21,9,1,9,False,False,False
21,9,2,8,False,False,False
21,9,3,7,False,False,False
21,9,4,6,False,False,False
21,9,5,5,False,False,False
21,9,6,4,False,False,False
21,9,7,3,False,False,False
21,9,8,2,True,True,True
21,10,1,10,False,False,False
21,10,2,9,False,False,False
21,10,3,8,False,False,False
21,10,4,7,False,False,False
21,10,5,6,False,False,False
21,10,6,5,False,False,False
21,10,7,4,False,False,False
21,10,8,3,False,False,False
21,10,9,2,True,True,True
21,11,1,11,False,False,False
21,11,2,10,False,False,False
21,11,3,9,False,False,False
21,11,4,8,False,False,False
21,11,5,7,False,False,False
21,11,6,6,False,False,False
21,11,7,5,False,False,False
21,11,8,4,False,False,False
21,11,9,3,False,False,False
21,11,10,2,True,True,True
21,12,1,12,False,False,False
21,12,2,11,False,False,False
21,12,3,10,False,False,False
21,12,4,9,False,False,False
21,12,5,8,False,False,False
21,12,6,7,False,False,False
21,12,7,6,False,False,False
21,12,8,5,False,False,False
21,12,9,4,False,False,False
21,12,10,3,False,False,False
21,12,11,2,True,True,True
21,13,1,13,True,False,False
21,13,2,12,False,False,False
21,13,3,11,False,False,False
21,13,4,10,False,False,False
21,13,5,9,False,False,False
21,13,6,8,False,False,False
21,13,7,7,False,False,False
21,13,8,6,False,False,False
21,13,9,5,False,False,False
21,13,10,4,False,False,False
21,13,11,3,False,False,False
21,13,12,2,True,True,True
21,14,1,14,True,False,False
21,14,2,13,False,False,False
21,14,3,12,False,False,False
21,14,4,11,False,False,False
21,14,5,10,False,False,False
21,14,6,9,False,False,False
21,14,7,8,False,False,False
21,14,8,7,False,False,False
21,14,9,6,False,False,False
21,14,10,5,False,False,False
21,14,11,4,False,False,False
21,14,12,3,False,False,False
21,14,13,2,True,True,True
21,15,1,15,True,False,False
21,15,2,14,False,False,False
21,15,3,13,False,False,False
21,15,4,12,False,False,False
21,15,5,11,False,False,False
21,15,6,10,False,False,False
21,15,7,9,False,False,False
21,15,8,8,False,False,False
21,15,9,7,False,False,False
21,15,10,6,False,False,False
21,15,11,5,False,False,False
21,15,12,4,False,False,False
21,15,13,3,False,False,False
21,15,14,2,True,True,True
21,16,1,16,True,False,False
21,16,2,15,False,False,False
21,16,3,14,False,False,False
21,16,4,13,False,False,False
21,16,5,12,False,False,False
21,16,6,11,False,False,False
21,16,7,10,False,False,False
21,16,8,9,False,False,False
21,16,9,8,False,False,False
21,16,10,7,False,False,False
21,16,11,6,False,False,False
21,16,12,5,False,False,False
21,16,13,4,False,False,False
21,16,14,3,False,False,False
21,16,15,2,True,True,True
21,17,1,17,True,False,False
21,17,2,16,False,False,False
21,17,3,15,False,False,False
21,17,4,14,False,False,False
21,17,5,13,False,False,False
21,17,6,12,False,False,False
21,17,7,11,False,False,False
21,17,8,10,False,False,False
21,17,9,9,False,False,False
21,17,10,8,False,False,False
21,17,11,7,False,False,False
21,17,12,6,False,False,False
21,17,13,5,False,False,False
21,17,14,4,False,False,False
21,17,15,3,False,False,False
21,17,16,2,True,True,True
21,18,1,18,True,False,False
21,18,2,17,True,False,False
21,18,3,16,False,False,False
21,18,4,15,False,False,False
21,18,5,14,False,False,False
21,18,6,13,False,False,False
21,18,7,12,False,False,False
21,18,8,11,False,False,False
21,18,9,10,False,False,False
21,18,10,9,False,False,False
21,18,11,8,False,False,False
21,18,12,7,False,False,False
21,18,13,6,False,False,False
21,18,14,5,False,False,False
21,18,15,4,False,False,False
21,18,16,3,False,False,False
21,18,17,2,True,True,True
21,19,1,19,True,False,False
21,19,2,18,True,False,False
21,19,3,17,False,False,False
21,19,4,16,False,False,False
21,19,5,15,False,False,False
21,19,6,14,False,False,False
21,19,7,13,False,False,False
21,19,8,12,False,False,False
21,19,9,11,False,False,False
21,19,10,10,False,False,False
21,19,11,9,False,False,False
21,19,12,8,False,False,False
21,19,13,7,False,False,False
21,19,14,6,False,False,False
21,19,15,5,False,False,False
21,19,16,4,False,False,False
21,19,17,3,False,False,False
21,19,18,2,True,True,True
21,20,1,20,True,True,False
21,20,2,19,True,False,False
21,20,3,18,True,False,False
21,20,4,17,True,False,False
21,20,5,16,False,False,False
21,20,6,15,False,False,False
21,20,7,14,False,False,False
21,20,8,13,False,False,False
21,20,9,12,False,False,False
21,20,10,11,False,False,False
21,20,11,10,False,False,False
21,20,12,9,False,False,False
21,20,13,8,False,False,False
21,20,14,7,False,False,False
21,20,15,6,False,False,False
21,20,16,5,False,False,False
21,20,17,4,False,False,False
21,20,18,3,False,False,False
21,20,19,2,True,True,True
22,2,1,2,True,True,True
22,3,1,3,False,False,False
22,3,2,2,True,True,True
22,4,1,4,False,False,False
22,4,2,3,False,False,False
22,4,3,2,True,True,True
22,5,1,5,False,False,False
22,5,2,4,False,False,False
22,5,3,3,False,False,False
22,5,4,2,True,True,True
22,6,1,6,False,False,False
22,6,2,5,False,False,False
22,6,3,4,False,False,False
22,6,4,3,False,False,False
22,6,5,2,True,True,True
22,7,1,7,False,False,False
22,7,2,6,False,False,False
22,7,3,5,False,False,False
22,7,4,4,False,False,False
22,7,5,3,False,False,False
22,7,6,2,True,True,True
22,8,1,8,False,False,False
22,8,2,7,False,False,False
22,8,3,6,False,False,False
22,8,4,5,False,False,False
22,8,5,4,False,False,False
22,8,6,3,False,False,False
22,8,7,2,True,True,True
22,9,1,9,False,False,False
22,9,2,8,False,False,False
22,9,3,7,False,False,False
22,9,4,6,False,False,False
22,9,5,5,False,False,False
22,9,6,4,False,False,False
22,9,7,3,False,False,False
22,9,8,2,True,True,True
22,10,1,10,False,False,False
22,10,2,9,False,False,False
22,10,3,8,False,False,False
22,10,4,7,False,False,False
22,10,5,6,False,False,False
22,10,6,5,False,False,False
22,10,7,4,False,False,False
22,10,8,3,False,False,False
22,10,9,2,True,True,True
22,11,1,11,False,False,False
22,11,2,10,False,False,False
22,11,3,9,False,False,False
22,11,4,8,False,False,False
22,11,5,7,False,False,False
22,11,6,6,False,False,False
22,11,7,5,False,False,False
22,11,8,4,False,False,False
22,11,9,3,False,False,False
22,11,10,2,True,True,True
22,12,1,12,False,False,False
22,12,2,11,False,False,False
22,12,3,10,False,False,False
22,12,4,9,False,False,False
22,12,5,8,False,False,False
22,12,6,7,False,False,False
22,12,7,6,False,False,False
22,12,8,5,False,False,False
22,12,9,4,False,False,False
22,12,10,3,False,False,False
22,12,11,2,True,True,True
22,13,1,13,False,False,False
22,13,2,12,False,False,False
22,13,3,11,False,False,False
22,13,4,10,False,False,False
22,13,5,9,False,False,False
22,13,6,8,False,False,False
22,13,7,7,False,False,False
22,13,8,6,False,False,False
22,13,9,5,False,False,False
22,13,10,4,False,False,False
22,13,11,3,False,False,False
22,13,12,2,True,True,True
22,14,1,14,True,False,False
22,14,2,13,False,False,False
22,14,3,12,False,False,False
22,14,4,11,False,False,False
22,14,5,10,False,False,False
22,14,6,9,False,False,False
22,14,7,8,False,False,False
22,14,8,7,False,False,False
22,14,9,6,False,False,False
22,14,10,5,False,False,False
22,14,11,4,False,False,False
22,14,12,3,False,False,False
22,14,13,2,True,True,True
22,15,1,15,True,False,False
22,15,2,14,False,False,False
22,15,3,13,False,False,False
22,15,4,12,False,False,False
22,15,5,11,False,False,False
22,15,6,10,False,False,False
22,15,7,9,False,False,False
22,15,8,8,False,False,False
22,15,9,7,False,False,False
22,15,10,6,False,False,False
22,15,11,5,False,False,False
22,15,12,4,False,False,False
22,15,13,3,False,False,False
22,15,14,2,True,True,True
22,16,1,16,True,False,False
22,16,2,15,False,False,False
22,16,3,14,False,False,False
22,16,4,13,False,False,False
22,16,5,12,False,False,False
22,16,6,11,False,False,False
22,16,7,10,False,False,False
22,16,8,9,False,False,False
22,16,9,8,False,False,False
22,16,10,7,False,False,False
22,16,11,6,False,False,False
22,16,12,5,False,False,False
22,16,13,4,False,False,False
22,16,14,3,False,False,False
22,16,15,2,True,True,True
22,17,1,17,True,False,False
22,17,2,16,False,False,False
22,17,3,15,False,False,False
22,17,4,14,False,False,False
22,17,5,13,False,False,False
22,17,6,12,False,False,False
22,17,7,11,False,False,False
22,17,8,10,False,False,False
22,17,9,9,False,False,False
22,17,10,8,False,False,False
22,17,11,7,False,False,False
22,17,12,6,False,False,False
22,17,13,5,False,False,False
22,17,14,4,False,False,False
22,17,15,3,False,False,False
22,17,16,2,True,True,True
22,18,1,18,True,False,False
22,18,2,17,False,False,False
22,18,3,16,False,False,False
22,18,4,15,False,False,False
22,18,5,14,False,False,False
22,18,6,13,False,False,False
22,18,7,12,False,False,False
22,18,8,11,False,False,False
22,18,9,10,False,False,False
22,18,10,9,False,False,False
22,18,11,8,False,False,False
22,18,12,7,False,False,False
22,18,13,6,False,False,False
22,18,14,5,False,False,False
22,18,15,4,False,False,False
22,18,16,3,False,False,False
22,18,17,2,True,True,True
22,19,1,19,True,False,False
22,19,2,18,True,False,False
22,19,3,17,False,False,False
22,19,4,16,False,False,False
22,19,5,15,False,False,False
22,19,6,14,False,False,False
22,19,7,13,False,False,False
22,19,8,12,False,False,False
22,19,9,11,False,False,False
22,19,10,10,False,False,False
22,19,11,9,False,False,False
22,19,12,8,False,False,False
22,19,13,7,False,False,False
22,19,14,6,False,False,False
22,19,15,5,False,False,False
22,19,16,4,False,False,False
22,19,17,3,False,False,False
22,19,18,2,True,True,True
22,20,1,20,True,False,False
22,20,2,19,True,False,False
22,20,3,18,False,False,False
22,20,4,17,False,False,False
22,20,5,16,False,False,False
22,20,6,15,False,False,False
22,20,7,14,False,False,False
22,20,8,13,False,False,False
22,20,9,12,False,False,False
22,20,10,11,False,False,False
22,20,11,10,False,False,False
22,20,12,9,False,False,False
22,20,13,8,False,False,False
22,20,14,7,False,False,False
22,20,15,6,False,False,False
22,20,16,5,False,False,False
22,20,17,4,False,False,False
22,20,18,3,False,False,False
22,20,19,2,True,True,True
22,21,1,21,True,True,False
22,21,2,20,True,False,False
22,21,3,19,True,False,False
22,21,4,18,True,False,False
22,21,5,17,False,False,False
22,21,6,16,False,False,False
22,21,7,15,False,False,False
22,21,8,14,False,False,False
22,21,9,13,False,False,False
22,21,10,12,False,False,False
22,21,11,11,False,False,False
22,21,12,10,False,False,False
22,21,13,9,False,False,False
22,21,14,8,False,False,False
22,21,15,7,False,False,False
22,21,16,6,False,False,False
22,21,17,5,False,False,False
22,21,18,4,False,False,False
22,21,19,3,False,False,False
22,21,20,2,True,True,True
23,2,1,2,True,True,True
23,3,1,3,False,False,False
23,3,2,2,True,True,True
23,4,1,4,False,False,False
23,4,2,3,False,False,False
23,4,3,2,True,True,True
23,5,1,5,False,False,False
23,5,2,4,False,False,False
23,5,3,3,False,False,False
23,5,4,2,True,True,True
23,6,1,6,False,False,False
23,6,2,5,False,False,False
23,6,3,4,False,False,False
23,6,4,3,False,False,False
23,6,5,2,True,True,True
23,7,1,7,False,False,False
23,7,2,6,False,False,False
23,7,3,5,False,False,False
23,7,4,4,False,False,False
23,7,5,3,False,False,False
23,7,6,2,True,True,True
23,8,1,8,False,False,False
23,8,2,7,False,False,False
23,8,3,6,False,False,False
23,8,4,5,False,False,False
23,8,5,4,False,False,False
23,8,6,3,False,False,False
23,8,7,2,True,True,True
23,9,1,9,False,False,False
23,9,2,8,False,False,False
23,9,3,7,False,False,False
23,9,4,6,False,False,False
23,9,5,5,False,False,False
23,9,6,4,False,False,False
23,9,7,3,False,False,False
23,9,8,2,True,True,True
23,10,1,10,False,False,False
23,10,2,9,False,False,False
23,10,3,8,False,False,False
23,10,4,7,False,False,False
23,10,5,6,False,False,False
23,10,6,5,False,False,False
23,10,7,4,False,False,False
23,10,8,3,False,False,False
23,10,9,2,True,True,True
23,11,1,11,False,False,False
23,11,2,10,False,False,False
23,11,3,9,False,False,False
23,11,4,8,False,False,False
23,11,5,7,False,False,False
23,11,6,6,False,False,False
23,11,7,5,False,False,False
23,11,8,4,False,False,False
23,11,9,3,False,False,False
23,11,10,2,True,True,True
23,12,1,12,False,False,False
23,12,2,11,False,False,False
23,12,3,10,False,False,False
23,12,4,9,False,False,False
23,12,5,8,False,False,False
23,12,6,7,False,False,False
23,12,7,6,False,False,False
23,12,8,5,False,False,False
23,12,9,4,False,False,False
23,12,10,3,False,False,False
23,12,11,2,True,True,True
23,13,1,13,False,False,False
23,13,2,12,False,False,False
23,13,3,11,False,False,False
23,13,4,10,False,False,False
23,13,5,9,False,False,False
23,13,6,8,False,False,False
23,13,7,7,False,False,False
23,13,8,6,False,False,False
23,13,9,5,False,False,False
23,13,10,4,False,False,False
23,13,11,3,False,False,False
23,13,12,2,True,True,True
23,14,1,14,False,False,False
23,14,2,13,False,False,False
23,14,3,12,False,False,False
23,14,4,11,False,False,False
23,14,5,10,False,False,False
23,14,6,9,False,False,False
23,14,7,8,False,False,False
23,14,8,7,False,False,False
23,14,9,6,False,False,False
23,14,10,5,False,False,False
23,14,11,4,False,False,False
23,14,12,3,False,False,False
23,14,13,2,True,True,True
23,15,1,15,True,False,False
23,15,2,14,False,False,False
23,15,3,13,False,False,False
23,15,4,12,False,False,False
23,15,5,11,False,False,False
23,15,6,10,False,False,False
23,15,7,9,False,False,False
23,15,8,8,False,False,False
23,15,9,7,False,False,False
23,15,10,6,False,False,False
23,15,11,5,False,False,False
23,15,12,4,False,False,False
23,15,13,3,False,False,False
23,15,14,2,True,True,True
23,16,1,16,True,False,False
23,16,2,15,False,False,False
23,16,3,14,False,False,False
23,16,4,13,False,False,False
23,16,5,12,False,False,False
23,16,6,11,False,False,False
23,16,7,10,False,False,False
23,16,8,9,False,False,False
23,16,9,8,False,False,False
23,16,10,7,False,False,False
23,16,11,6,False,False,False
23,16,12,5,False,False,False
23,16,13,4,False,False,False
23,16,14,3,False,False,False
23,16,15,2,True,True,True
23,17,1,17,True,False,False
23,17,2,16,False,False,False
23,17,3,15,False,False,False
23,17,4,14,False,False,False
23,17,5,13,False,False,False
23,17,6,12,False,False,False
23,17,7,11,False,False,False
23,17,8,10,False,False,False
23,17,9,9,False,False,False
23,17,10,8,False,False,False
23,17,11,7,False,False,False
23,17,12,6,False,False,False
23,17,13,5,False,False,False
23,17,14,4,False,False,False
23,17,15,3,False,False,False
23,17,16,2,True,True,True
23,18,1,18,True,False,False
23,18,2,17,False,False,False
23,18,3,16,False,False,False
23,18,4,15,False,False,False
23,18,5,14,False,False,False
23,18,6,13,False,False,False
23,18,7,12,False,False,False
23,18,8,11,False,False,False
23,18,9,10,False,False,False
23,18,10,9,False,False,False
23,18,11,8,False,False,False
23,18,12,7,False,False,False
23,18,13,6,False,False,False
23,18,14,5,False,False,False
23,18,15,4,False,False,False
23,18,16,3,False,False,False
23,18,17,2,True,True,True
23,19,1,19,True,False,False
23,19,2,18,False,False,False
23,19,3,17,False,False,False
23,19,4,16,False,False,False
23,19,5,15,False,False,False
23,19,6,14,False,False,False
23,19,7,13,False,False,False
23,19,8,12,False,False,False
23,19,9,11,False,False,False
23,19,10,10,False,False,False
23,19,11,9,False,False,False
23,19,12,8,False,False,False
23,19,13,7,False,False,False
23,19,14,6,False,False,False
23,19,15,5,False,False,False
23,19,16,4,False,False,False
23,19,17,3,False,False,False
23,19,18,2,True,True,True
23,20,1,20,True,False,False
23,20,2,19,True,False,False
23,20,3,18,False,False,False
23,20,4,17,False,False,False
23,20,5,16,False,False,False
23,20,6,15,False,False,False
23,20,7,14,False,False,False
23,20,8,13,False,False,False
23,20,9,12,False,False,False
23,20,10,11,False,False,False
23,20,11,10,False,False,False
23,20,12,9,False,False,False
23,20,13,8,False,False,False
23,20,14,7,False,False,False
23,20,15,6,False,False,False
23,20,16,5,False,False,False
23,20,17,4,False,False,False
23,20,18,3,False,False,False
23,20,19,2,True,True,True
23,21,1,21,True,False,False
23,21,2,20,True,False,False
23,21,3,19,False,False,False
23,21,4,18,False,False,False
23,21,5,17,False,False,False
23,21,6,16,False,False,False
23,21,7,15,False,False,False
23,21,8,14,False,False,False
23,21,9,13,False,False,False
23,21,10,12,False,False,False
23,21,11,11,False,False,False
23,21,12,10,False,False,False
23,21,13,9,False,False,False
23,21,14,8,False,False,False
23,21,15,7,False,False,False
23,21,16,6,False,False,False
23,21,17,5,False,False,False
23,21,18,4,False,False,False
23,21,19,3,False,False,False
23,21,20,2,True,True,True
23,22,1,22,True,True,False
23,22,2,21,True,False,False
23,22,3,20,True,False,False
23,22,4,19,True,False,False
23,22,5,18,False,False,False
23,22,6,17,False,False,False
23,22,7,16,False,False,False
23,22,8,15,False,False,False
23,22,9,14,False,False,False
23,22,10,13,False,False,False
23,22,11,12,False,False,False
23,22,12,11,False,False,False
23,22,13,10,False,False,False
23,22,14,9,False,False,False
23,22,15,8,False,False,False
23,22,16,7,False,False,False
23,22,17,6,False,False,False
23,22,18,5,False,False,False
23,22,19,4,False,False,False
23,22,20,3,False,False,False
23,22,21,2,True,True,True
24,2,1,2,True,True,True
24,3,1,3,False,False,False
24,3,2,2,True,True,True
24,4,1,4,False,False,False
24,4,2,3,False,False,False
24,4,3,2,True,True,True
24,5,1,5,False,False,False
24,5,2,4,False,False,False
24,5,3,3,False,False,False
24,5,4,2,True,True,True
24,6,1,6,False,False,False
24,6,2,5,False,False,False
24,6,3,4,False,False,False
24,6,4,3,False,False,False
24,6,5,2,True,True,True
24,7,1,7,False,False,False
24,7,2,6,False,False,False
24,7,3,5,False,False,False
24,7,4,4,False,False,False
24,7,5,3,False,False,False
24,7,6,2,True,True,True
24,8,1,8,False,False,False
24,8,2,7,False,False,False
24,8,3,6,False,False,False
24,8,4,5,False,False,False
24,8,5,4,False,False,False
24,8,6,3,False,False,False
24,8,7,2,True,True,True
24,9,1,9,False,False,False
24,9,2,8,False,False,False
24,9,3,7,False,False,False
24,9,4,6,False,False,False
24,9,5,5,False,False,False
24,9,6,4,False,False,False
24,9,7,3,False,False,False
24,9,8,2,True,True,True
24,10,1,10,False,False,False
24,10,2,9,False,False,False
24,10,3,8,False,False,False
24,10,4,7,False,False,False
24,10,5,6,False,False,False
24,10,6,5,False,False,False
24,10,7,4,False,False,False
24,10,8,3,False,False,False
24,10,9,2,True,True,True
24,11,1,11,False,False,False
24,11,2,10,False,False,False
24,11,3,9,False,False,False
24,11,4,8,False,False,False
24,11,5,7,False,False,False
24,11,6,6,False,False,False
24,11,7,5,False,False,False
24,11,8,4,False,False,False
24,11,9,3,False,False,False
24,11,10,2,True,True,True
24,12,1,12,False,False,False
24,12,2,11,False,False,False
24,12,3,10,False,False,False
24,12,4,9,False,False,False
24,12,5,8,False,False,False
24,12,6,7,False,False,False
24,12,7,6,False,False,False
24,12,8,5,False,False,False
24,12,9,4,False,False,False
24,12,10,3,False,False,False
24,12,11,2,True,True,True
24,13,1,13,False,False,False
24,13,2,12,False,False,False
24,13,3,11,False,False,False
24,13,4,10,False,False,False
24,13,5,9,False,False,False
24,13,6,8,False,False,False
24,13,7,7,False,False,False
24,13,8,6,False,False,False
24,13,9,5,False,False,False
24,13,10,4,False,False,False
24,13,11,3,False,False,False
24,13,12,2,True,True,True
24,14,1,14,False,False,False
24,14,2,13,False,False,False
24,14,3,12,False,False,False
24,14,4,11,False,False,False
24,14,5,10,False,False,False
24,14,6,9,False,False,False
24,14,7,8,False,False,False
24,14,8,7,False,False,False
24,14,9,6,False,False,False
24,14,10,5,False,False,False
24,14,11,4,False,False,False
24,14,12,3,False,False,False
24,14,13,2,True,True,True
24,15,1,15,True,False,False
24,15,2,14,False,False,False
24,15,3,13,False,False,False
24,15,4,12,False,False,False
24,15,5,11,False,False,False
24,15,6,10,False,False,False
24,15,7,9,False,False,False
24,15,8,8,False,False,False
24,15,9,7,False,False,False
24,15,10,6,False,False,False
24,15,11,5,False,False,False
24,15,12,4,False,False,False
24,15,13,3,False,False,False
24,15,14,2,True,True,True
24,16,1,16,True,False,False
24,16,2,15,False,False,False
24,16,3,14,False,False,False
24,16,4,13,False,False,False
24,16,5,12,False,False,False
24,16,6,11,False,False,False
24,16,7,10,False,False,False
24,16,8,9,False,False,False
24,16,9,8,False,False,False
24,16,10,7,False,False,False
24,16,11,6,False,False,False
24,16,12,5,False,False,False
24,16,13,4,False,False,False
24,16,14,3,False,False,False
24,16,15,2,True,True,True
24,17,1,17,True,False,False
24,17,2,16,False,False,False
24,17,3,15,False,False,False
24,17,4,14,False,False,False
24,17,5,13,False,False,False
24,17,6,12,False,False,False
24,17,7,11,False,False,False
24,17,8,10,False,False,False
24,17,9,9,False,False,False
24,17,10,8,False,False,False
24,17,11,7,False,False,False
24,17,12,6,False,False,False
24,17,13,5,False,False,False
24,17,14,4,False,False,False
24,17,15,3,False,False,False
24,17,16,2,True,True,True
24,18,1,18,True,False,False
24,18,2,17,False,False,False
24,18,3,16,False,False,False
24,18,4,15,False,False,False
24,18,5,14,False,False,False
24,18,6,13,False,False,False
24,18,7,12,False,False,False
24,18,8,11,False,False,False
24,18,9,10,False,False,False
24,18,10,9,False,False,False
24,18,11,8,False,False,False
24,18,12,7,False,False,False
24,18,13,6,False,False,False
24,18,14,5,False,False,False
24,18,15,4,False,False,False
24,18,16,3,False,False,False
24,18,17,2,True,True,True
24,19,1,19,True,False,False
24,19,2,18,False,False,False
24,19,3,17,False,False,False
24,19,4,16,False,False,False
24,19,5,15,False,False,False
24,19,6,14,False,False,False
24,19,7,13,False,False,False
24,19,8,12,False,False,False
24,19,9,11,False,False,False
24,19,10,10,False,False,False
24,19,11,9,False,False,False
24,19,12,8,False,False,False
24,19,13,7,False,False,False
24,19,14,6,False,False,False
24,19,15,5,False,False,False
24,19,16,4,False,False,False
24,19,17,3,False,False,False
24,19,18,2,True,True,True
24,20,1,20,True,False,False
24,20,2,19,False,False,False
24,20,3,18,False,False,False
24,20,4,17,False,False,False
24,20,5,16,False,False,False
24,20,6,15,False,False,False
24,20,7,14,False,False,False
24,20,8,13,False,False,False
24,20,9,12,False,False,False
24,20,10,11,False,False,False
24,20,11,10,False,False,False
24,20,12,9,False,False,False
24,20,13,8,False,False,False
24,20,14,7,False,False,False
24,20,15,6,False,False,False
24,20,16,5,False,False,False
24,20,17,4,False,False,False
24,20,18,3,False,False,False
24,20,19,2,True,True,True
24,21,1,21,True,False,False
24,21,2,20,True,False,False
24,21,3,19,False,False,False
24,21,4,18,False,False,False
24,21,5,17,False,False,False
24,21,6,16,False,False,False
24,21,7,15,False,False,False
24,21,8,14,False,False,False
24,21,9,13,False,False,False
24,21,10,12,False,False,False
24,21,11,11,False,False,False
24,21,12,10,False,False,False
24,21,13,9,False,False,False
24,21,14,8,False,False,False
24,21,15,7,False,False,False
24,21,16,6,False,False,False
24,21,17,5,False,False,False
24,21,18,4,False,False,False
24,21,19,3,False,False,False
24,21,20,2,True,True,True
24,22,1,22,True,False,False
24,22,2,21,True,False,False
24,22,3,20,True,False,False
24,22,4,19,False,False,False
24,22,5,18,False,False,False
24,22,6,17,False,False,False
24,22,7,16,False,False,False
24,22,8,15,False,False,False
24,22,9,14,False,False,False
24,22,10,13,False,False,False
24,22,11,12,False,False,False
24,22,12,11,False,False,False
24,22,13,10,False,False,False
24,22,14,9,False,False,False
