n,newton_coefficient_exact,log2_abs_coefficient,log2_abs_coefficient_over_n_squared,endpoint_extrapolant_exact,log10_abs_endpoint_extrapolant,P_n(1/3)_exact,log10_1_plus_abs_P_n(1/3)
47,-99825240859137873703478117725092144647715147612724038531603456852985565889898370816475342034689689618385710451115818861047514299122203052029499418128147429412459060203050751976350054417006432700779464568296241207540231347462104724002113198478635451913707150718178764124847635253307035017972142660999249964463075226055371577523434000516862165044547831263775514488740168954500598463820340665940602796806265655417326556762072466229841455573462779515182243483072823298272940779703953248292498284025100235185027272811464029980842187464540904828899314785886897943644520488545924742910137416155219127998096906311804733803344811264585147809684934352579022369059920376229171096084074272515185180672/12534472475895081957041865800251490680275689300264350926062027209758245694364054438420294747966259774305531484984195090893332892645513979965546030393255479367996160950316023067528746715006494891856034057746779686218664490706861306708869357537502997899886986367975604505376777221601897097753841485133055986342850512544462815323836267469988879534192594522504852032934299780203242627763887693037416066059356478165268431549830355609532770232897878075633296410998524142547125404804397252859644886048173757895404816173461707887545344419777393341064453125,471.385364746544639,0.213393103099386437,-509066191524806759191521977065484254286392748490391648372666087599013186672482835557387668298703486792543580776507869132854284643078729488851437118513301993761338533666044797747420035733907993565248966638486445772761377479528614822157122607171794065706403286251097338011378660220269694426798103399471309040576665730096020876292555244182783019/178125567286645890627158229991410363460682911958028449944521088898002719467015032835487343206169374264628937316366257730218325987482958770038031749323089306354652933913802964418418078451664332958649847030297597940285851170540376991767173790243742318376650219282367702868385486984049712805824946355611783293528647566400825666781353622463593366203085936886496016297644278498346754304895768538468146315209067812355437476663307607040699075760484771176224070583340624787889918613774187047884235258766546538292112454655580222606658935546875,-191.543952005163999,-558328042092147082915524609827616513415965950494339853512657388102819527251695595063151729919909892338131758592749876991605729200922646402379307039591293933654322270621817372817474239774711935152664740802150278732418019445656706468972910097706742140186946679100073853571184421217342858583996088265928398350424273381073692722848258865183302488206068158212607960389727134031592962565721843748369836853390950168142453471630715501827341011335232185020787202615673923605050851425021744108825053020350908769518507872940976254503410919512181623109148080699739829299530904030583515436845645936743899728367191230949135138874805075638694012164928830721668970857/17820965095649805820611953991753513661113086181468465622222689778694444282296556677707320704917047776253398571695951425752991305519096092348579282990844886295755878839064672271508959697610000741364281040898866210093675636380088569993178598914793675084954240917831377480991200277136843593432026927936768134286295855474404074022508645930512362191348875110050605955344957557250203325586462002335845980884016378146747084271149413769991230147948162732117900030302910152627157331943429896316023293779230960127451912935449159145355224609375,118.495958221303382
48,112383911115014122468355881631108426337954126610413940242457503466344283064274537748574702046103910979082627274581890046783774248124144779074646691282884476247876944338323501393654498199138663533700359218982140578586310314617277705989609844017387496474912483499589668259662849237059096452258394409746530535420480182813496140687615255387342582361771336533002166370364833161001401300614180640552590729916900381916752727424796602373086472889864085898289622562204548405675814948171002411309157779246463757491216362095636058099028204214704262027929900044026171148742584748476962233158014442640826539765434298629281635320692983967196659590235164839626094779044917173464548553955987260300409005265644441976386685756936355919691776/10785021748194488980658997620906372169070988403140328713296401575810606984145867475798465432051945102015156429812046303012842850024874402012565108606815852270811801064823135330847391188873656438795244140307946110532716593452048103477428203102511153470531259408557645846039877342232106118203299442375499575913659154464374915311973311928706144865507509739677662205696959360913636118205872037462768541066584903642502001882634955883795523932129571064436866613768617326589409180079106797653106620357589350779843928272426572459220530221188454385818768796525546349585056304931640625,491.704764471671695,0.213413526246385284,116494767475472930809775930676180080977300594131138191888715183546304613322392350221651715995985832787046065169455993620507182585999315734179666689754232645988866538006108624053601618587238610564409128460881083530355284097351830162328594450141508233489479689475746326112593541341677028356699770225226036707635363537018484178563322239837571928526338413638451318540122713970438112769/1355558598508817125490048751974101011558363461402304775645511417662059381230309937165633321689176927927182996506646287779381204976776438714557295935682077656066064464036555056598877751138341004135735440751165438686746615914394474077974473419751524368557603463802201948742906143267811185890854503612734166197011905465472818730646613603007146642000773391670345684971845125113874010061177850516657915158117989953922434114626504970078375607505433657518005327817963743161696250434962854290221318006125047910167803500633023465826969222970955643299175231266499395132996141910552978515625,-199.06581187727992,32578971852223061627250994175888019828955104139589719105839352149213892960159337213764474568472640704783413741375374201480700732572564856396742638702919479647332783310521316828074813685362468445526712085312417247196904892087793750113032381045632983591441453372237491595768951227382350887984008816824371702160033586479919571265160913823307472783669942645398739901132213945365268386536472195646519744411060982501219569844201561006881355381820694132852408587630708928602976265781301012870884193250226164317303809369215942434769191522273640422937817901111414798477119716287839982269632611356739717477250196787374459811972526844152059353885900311869025426364133136809568702034059551838002997/2384256451677847850822703382868994372314110071417374394343609730353839793187072389974076696650254017986695473137375051708337726716317081258996519752217883526203684614406524004050820335579238959735121718861426663935640094163835412020038781265799038196187027421583465367143900030187260898953009446441409659659580193328591038116279634854165514686666779277552964873993232204584408727939377298577035775693040364970198274575557418299490190451111854894820968470897849513225425334170316905749157081356012682214721496093243568841616195953194669095686047136783599853515625,124.135584407962056
49,67305585361456389204375766257445924232270563701904924243945764885868318398477699225537193805797938272957773419366280517791051570138109449029163822182134324986616941866136863121059872821932354023043186176985325465047828958149060773254886145478850556653023242641036455670270592441438272175147388669316760546484787565091092218161790166065942079645971296311113716066237727546968656414756664390895215041324261537425637226747524262009635303907371852054355071990960884714467563456010341114329970703177268379873765913633951340874350146634623605180635346713681689892322770316992506558663644097566151874657863530559031120331523862134041340055914939161447393286283630580706763103212116404311828725740874917505257690285743007466888234886476618534213781913862144/763111649890396219576566298848866751416993638634010455828182624565805759433431961268349341597346172579480875987745087334238777861378537115838068334068165547382892974279198544801955617306804548986030658784733702682242651290469324703164898415114373285906792030981459261279296927662848103636435604477488830833686685216857649330758849519649489284474987165692459533266678030387307535118712971125878500434364172906196954915951602224727295390010220830318100955631440624436895098177835977346430574435013583143630263262875303490990389179614972230059471754414258780824768733500604867003858089447021484375,514.717686788181764,0.214376379337018644,826808473623751962296677378011970813738821085152897895142299062424454577577988288000809591260056907978248778008026242612187845864983986353505762728542535264927140355374668852626852660084318535019857123858100676504136925558375416047534410463538845049617379632265035023320256466634901828069767586223981201300485969225639434383140675927731783249291273039559402705844348081881/2711117197017639066891672841876234809496663710848522841316897828849075851320765232600964588849659170733977922107683231843683151199579060627049173295435453910884108132013315031763367921591041608856017752154139652631651832699766502638985337304749422568918137629637599344139170530575428027500230782839865394835746048877398397809229375774177478724349872660934522212767699631220069643754101886640918389077550947606404578731439900100873880823507710517357780813590146288368418539690638431824859342617079278180983977869379531266845115166383944949667175231266499395132996141910552978515625,-207.515743372917693,155234489157208952873202489561037196987190876284975913633424051212434914891309942817569533472216151975580171076666836562222222494008099395962771667840302425024677897535902350096711066544681555297322504799382764469946549975181612265960636823535201945967348561495054211260015816714662723540175173195634447621786138870541923349894709125615481466860436413510626329026062229409958339673635370394793792328150915753287626722330943320517778962654670946281451516311795218372904505093403154871751995380903136902268632954082048749649149862019912569657936532746004713672613848664532731175236455638232151359989236133614929979970350042193561025514831165466387143316999733341995222020960244134383628456664228386125138784017/4026651175249514066023912909791016115974234961805802760934191961025012032147896157752828409870071952018259625399972113156685740120107063625282612331951135730487521745246129138662024456589295899685641228341849661412225745731505549626028384736000224101591251342991627172076612930582142309647678481044616844146350232864695887885728543507452582761369600837342248925090774527747525793815772187980228737539515406740259482836851046520606042298772937419792012525095029896141309839628119107153671383851202904470093383871043036812441929564359670901510235909342088941858589649200439453125,130.586044208094182
50,-4861491767054017320938031725043145019932199970535399625796950943493741517454946941996090021459575586766641120702956512156128201664371409969763213740351335434299711542010171977776355280805291520373621715749030556338391058952741497083356583403922986006649351009131312230628381176451197107609300597183407967912835223845311260093286668159571701333336077667815056414778985443823509350615774950850393422415090450050420740171309924413371709351729011342601087632610450746961590056461073859094886536740828182383972242888611129602102656350617332591451957553030861516235303418537412861081618019198025762761487439240487810648477705855085009280164746977446768339943324500494199694443557990490354253126290315661204188269538420626703231882032627295055113769368956969703301178661057458683684210081792/27591050176158639117013898002546301667628671090240906595755071000306493369145680243612528337118214008302960473370079780120913361173481151545348180484143729753688984782999595451915606560258430408466646283076688305079533005867122045278523461096443053395008015329225884742337784083636355735368959071397311873738443373566221089613896404827852902056864569092430106640868375885808426894154282656426885868227974919384616921183459657185147867710281757219214585622538442472506216620589115511747274700018350226184632775535070162583573560209018693901610340046873162380854261411111381836265773360006238001906240242533385753631591796875,535.647621985149323,0.214259048794059729,-299089046280380536143291017595599690851499185206842073186769769455038588671268491989450743468134637240476528487068729042813273304000353255526269233838587224376955217152624445409969820009065321064648355237646183843269110462651785344434557307344689797644752820340588317379495057399884650702172436723242177204992190353014998226252992178248996155663254574844844639704012236996392879834024275629957753055852069687/52246882248470614498175253664396188264233015468754057170685134447388891699020543440032234510713213760403478343190151072994921045626379201862467831129548764852730205227382212664265723060914900135181521684975005513874009308982422596378480596544328335152249220517044760469533250711566716179741220369241718228994073622284971850545463404886785282618318013813325095553984796890147872203824067157914741324942335485643210765645274669988897026089682476436385066391615348511767091047498537883946966985141131279370900362183430733402937167204311994834964260939823647912681473735934318796333060192352237918503305991180241107940673828125,-215.242259871815559,-42218019653989719087067080835799356093793130951183318631256936129096190733788958925141610746908832102869076635465606586767759442973081901592786600643632892904865678392142767668435754351713007385758690163742099313153772138414385925538820497340817620295566258740109017985229234515400972476545541078400940578462541156086611257027455511466365598617656416400677024174818107004862326176408619904741416389066182735536877472395779881063275391033812855037629347801425334452492698873157151796823509662860544216527508531989220470800219444910956249174760064791626904619112004618158564886836891960162198098534319381309016771170095548273924929147609661884550297906613468368118157792066514641190622082880786775902561350736304746808926433367864123379552913/1644513370786922677089325863881647947845330931348199290715941844495525888426063658253506905371663162019306795277389362598354147248114512363638983281415913060547155466324975896406758397863541702377652069316911662922932986355530693588817968603467501489717250180386263019798213069392026349254419073752344660681283074822562975403079758424105760128244077054160822650032949918130098290808616263512047825174611405155487938537808270932188406070184219015379515005388105520100992156531769195271613857175827930127979702481639468099948207792668560436945671847163405476147745176230348459834901387380588054656982421875,136.409460448854199
51,-267680027361278612287754592556376497130988571879601775693787579503423621441966647269533596985472676666327494992919358742252005030546515164194117566423261379061477768092728662192727437664903374480456777651846971749378671964078106345343238277894588881107684767262874033558977848558208325736786636054938387697043655642826273436688541813112402398359576144106815249682318845030576544634943186943166163356087547597445139534568906144646962133289355340200683692413049264853295238788832264483519206472609943061966780343393554005910922862978323333479632206576878375723377969668475276108601345294654851154429285686142334471479761189464408989404079323757206170964056914259207125671976770112714612465511857461027370787388114364010722718478056091971866253984887205101580732120487331138753445114212790855538263800422747602944/71883856544484854004276463479820805718377387314325565777253875215420441645379782409487534249383085134725717202653824277980965481825563243804106941287551912603498926946240429081902705058033540788482926650595300549202393239915318526335996600289582339319101610260295541171786131784630177227238644618478218121561898095592183904276472063312604597448896256755453904394896113743842381354441777781334014471790165004969965525062733609555605928565850638526586028011440941907329528258233921839524830621083997072768500726169826657130440933312018582312530711474268891068320029388649519442464695003422373216186735112782631794480039388872683048248291015625,559.980689722897149,0.215294382823105401,-474252642399843747694907858855314233148109147025874502114085828939155639743501507868373592365798122620464790730387037526062278144228044750062123687677425290613895467692797123150931060544108144774758748351876627030160836988359553582557274651949423450902845501896534876485989315378820189997991351025914685505308104073828317939036352813068935431584031568840479715856391504921992319099586506826930751561477/63845690107631119269952232207767717815913495266893723903533290550477681416437232619615250227887508271940881856709367719971146285467685301773592606775812262572694158143440825071533638367479046424543026931567735264598195506069962523315821796512020163253085522719184647273235145598559947954683696006151703277405133227602595011349339829383012509457207563706016772189197734164713589557194899355362213514810250429561726846217662486611079361001530374158671880683804201143525435979628804052908473076655626582402171981730640001819685615160456039872146291651863204221416908669665116402012973989367217368205519960611127316951751708984375,-224.129121826282473,-56125510173737741559704705773344242252561158967227645087551504194634235222932746422965139430759058322111539756257794357831386940867700751645958641637447923186342613673828567558640819055572305265638023897328561869988121520368277135801451121950918903351885226526627584689399384495256710776580463391345615781656859359951539007321481896073039081347523196602988855799606777621361363378105547834366417858093772881864562535245423018330167572443661509314512613667416932303338361364513677752551999706425150574499628182142797988643524509607800208795844754099474210431890405266842076597860993937472311349531987998174901124331258296034706429070448652240495053992952414675707326956508951901908358841355449564829041794208975408396997132135081974336840824456699654945452472706791123/310339544357156286525996868731726780421578869434500699481834082327027461365975698175104269045989509283246244542375877941323827863585566006080943118442697594307386286091192386950941829833134544019095206559200115684218300929886672712628386466039230929350537061308335014514533105757908950242443269882831181434937985835978118944394063006244083987355949773954121651214885227917820940123596648842574120937123171861220467793722087225810342511813858379095677727926358205483039113212736887590653340704476092249239958394456454156544255404159530227230383814026245235335973714604959442120936779490340435228221582569818079471588134765625,143.257323183548898
52,122442799688731444622339449999509007083994981647543619774625072959536231216936631942228312865615550702803047681075054984745776362334468157892642926713921382433251916419820110516538124307373193718699801147275491891972818871892473317619062638015660265870600198373642891652926359460823858119663565910572121936236896377011311631843597858955491788928313153219759820448097316027029594429303079026770699866708081643461037006506532229326393596285778368790902869213704605845074300552776367921647600499407868727770061923857359667903587691150866289696175207468752023769285193433857771182050298835891164457583871273150717949682192367131266869407578727887929696000562421649862885372556216972755122922310989996657577055751999418102360691004553140536572965529539581901221729716918913203410671668067877949206608665173903612347416970633039166557425695462269007167488/11253323968433742316470636484905460265933786852326434037971833623430711460738397252143054087173332952487572116716032483036704899625533048669043891392865587319894035161748627814838285017777179042955221643179759676215033199642695499028713266381700488813347322209304947696684508023833755541880178612491543113412965144117608272450122769064540989475095506979356094894524702116705337039224420789814513259014010822990440870985011598254526715879261644201239747089262397627589306801223260862437595701457820623166472442764104987962165619051383646922673571945673521861341764483551717987979124171351630950057074243898629296663912135802507053217198662060937977003050036728382110595703125,581.459173340538607,0.215036676531264278,319105819654888052806049264826651655264227387397966533499899155611869010881039147793258084773651550640240796412164692406033889570141588272048684255267740639748662068897627625702772595973775862537709042433271640777507678371816967217638823870409860539339418211585957888630969558456019417781136510159262858624192168293266239502233719713732894269864230480772939203970669744826647742098233025256243841184533442381574344649487376928362007085127921/3501789633681798968569412561768164372783021286373482495199694450795659457571162891150255501446686689142658392814958748497826600185588833875865621792946089105586361394743530709753303192843049671977002505279502255740629666354071409063315608571949094706268199962412113633711493433398419398228575217784377464294668911915751214689917357140929673462038783138591171523069620296134893398912735170244395364587441434344457431152435633293704688022851810733316295922036335213419029004610259422450369659366028773976273902129011521933846098979735696776541927221765476591293660851377120703208005406795220507117458148403500959384842749207426666106862423541621183176175691187381744384765625,-232.040355328087877,69780229065167110709542043869223313079037688990143977446782542997471845008065132870768247840160245524642059219710478233643364502685778999231852482861255198695050109435558028967132794004350701407773970046400595762292556664843331828866213384480356172740435679901859623716930751069652117198712307411304264463838749863617082998891186444380185027692216922437280293008563653431015912066158897303077134588008710321076633443529069840470085786250994884126072297546498517597473678310454160883648083680127803792331844749237099009463785691343341021464854937760990527675718733132306600236769302915434192732886652435965271438212916008641117639858116459433943245108741350049639092679072819334449079101073886410080633441590149494042089786803436996675826327502854226829756423034503658487978082277660448361437997239451651/396153173382952495893697169489386835196897364952107179968153016156016925788235202168267023475467632340203801727171188894243588224163417812108811980303331792207925078922461822617148352491650201432143464671459491958095713895669599485476401574255542232353745294616591574391128012586717449725143015465286497434174033752377474707604860968581587687389573978828246179659098142097397641818203857515648273964611203806142150070526714445238655548385190530332535983235129403102158464879916479912672782733160105899833524633592827305220401997757182649719899835728556278197251530723778766422511990362667072423507222985289213059278077895765677960077820718288421630859375,149.245869251567801
53,6276051713029169418989124137617902652615014634915074762894985139125621062788449586489619640516052996995464049579713457304212822250577971518051957668833305224565522910911396615902472456136334263996025236803720022683159331298724570666592009195675065928293213519879090189765628677820295351818475048697855004955805565847036205112307219947298264226662633340912198347166611954530278117247409485842122890647736457308124112119931815457144315788489894983476963739119411629393075348043491205985393597140103272258978191792805371505595962098123866571108210899215125147118160731516251065963107955781103569191563445495988106865156266092559943050029030654734937610141333009936644675158844901684855799541479732790444486548696793668570591160271212157590919534898750615388966176132849349250097867939574101552716185731796212890260075255445919341051493072794914083465167643895411621966626422784/10440175919969039517569732309294662348845498931131173370933609389531424840306103898470244956533799020933178213690514427922707082172799007027065862643480142439182564560015883912181055826838402405156458909655397272962788413809452883996813517119555942988227377193542540845477922548767675844458801217581053517197154260507036348023127998601176590299513755620660896133084984243321376485159078735687025693274243964633840023468599097894392273059076470468969934208154999417960020953838491885044674993084627465904589159562686627920831548517751835754989487121640862800822560516683367168632068184542449019380814895907149203420225599847076245264276936053821021988537807723388368685846216976642608642578125,607.178624487346505,0.216154725698592561,281242935714783591045989614633981886066535377097621836736512758038038249529199405407778145035892613599169797737982463731263260905756153996039989440136153149170066052141126714200473972711996047622842358850668299845453157152357688723996157603396678947553123803862048195863893258331030770773091632995200493304892672655892832707638032184396990576734022219055806104442559180961815648710077556783632434324196760309379726276712800290944531/7046154217317176822380420079966351810432685345064685879941822831345056488183697239053090132074051738611645086537104228573775226497183500478185600450947964977770332082511828274597224537779858068223745357944093400264790355597182436014069339176745943212159335505119540914118240664681786033529392175608685488399963786827512936129999099222451021438427048553198598688482124075574970585812117063220031133496917080266342823007019998146555388579197935817404970927513690588974917440985847782587100416263320510481495030600082881430786504471096714664143576749417989457978901922762582597992795349928538683357793923883604141854128908436768812381262803016038333225878886878490447998046875,-241.398870521629142,381980842960349978968850638792462290183813003523170030980723314503242645577535526807332150038924509906016337836534177063705147679630172084150515701733016984557147658030977084754943193495487108822265032271683989349891993274832698807301758697598367905995758162530613906779297098002900121813413429032920608980523312866939165184863333705342182291548835435315639411922430563857646589787711131308391201739776053548710401062172588498766384490652397519259027727862014710244513913748744799151044361716426611384917378599476004568485537742708743614163770534427691345765459241063847784112287275884376401700418136421168778142872869726277686543707848000628589981390805818262711835432829352232253785491269709430004834097504676427429376945179664001373589665918100161636951333493703135380712036925800752919427173266389989449990100532274698825981/117751608745920874343168700519978946333260829260648800512183808594913540014465744222509035531359663545162026384851226579676693892837778288313219992606282865849359513089341651534324264926909795644179859793631973399856089077617400397893822029457192466024534146610330061507895986034144931901375255783140240875014111472047431657779360203733472710468719441321020593658090090915899947262526866246431609998438775787369212923339804472817431991438706226876114915480713257819964089812277933876551693382857438460834362540545478862938386389957538812369824282058209907503504090218266847201486315410258169672328641830762897885792677009084966874462990303089964917431916296482086181640625,156.511074733534161
54,-3206073846847607145426505983052479095608346280201838636070186488478846639702144432584446170890940153229467919055485548734029704750778373834654785763303343244561141188177580199557216158851043448091032870266853966313996944679576860108862173926688891263484153360793317268365293191071870813687389053022081073377215671959688256625872510085455249421089664253436613498294432904013017587869402331743786298520387525929739922093231801284214619392943291254150551572052046001414351530651311764974324132649448321500059819299847359992345957604540727982557003574994336858685289552837384561404156987314125341488904603934161919869604635609254107029036442137092230761744551095427164866078247048319263151138022393876109702052586293486872981022369562976833596553363978845741839114171542982472750838706865706828833616604771032757313854416059942721611840808493500231089887618832830823113173840981231942734129541185106842263478889288302592/1351824285005666909377123044633430582532553487676198318725363016209395715145652715873672993821321324214495133511523839660252076963575812620445139325801504192855435763796248223634093462191556394268245962744157450504913494653022216667687662424108220556426772029071652555216746199216930495664939297636153175677314826925690007300697360329433950148787148066012718912348377911128435797603854080397581835777696104903104778742475999351632399592162137946481031125035263396843339302732558162875683850970298787969093372845479929397616264959313779317201934415163635407043385908551059646499768745096293890465047675779194970340827590613046601663007796196336628883768044858700584895041860764846860786585281631959105652640573680400848388671875,629.090309952684488,0.215737417679247081,-469786728324317636345351186569962832009427780214173647680580609155000382896805603859443215555414676708253722389502225398689063042082667865194947376820622141575411473096139736001936473759207501820211518417952242617528953520161065309771434241107473354429912210539921240887703952732364898033233374287158138398341934299952786790877530712292644518470445540226810836636618183440172412646150551450211377008524965954175284287801111775279510310411726773481513357804891347308001194649949/1351824285005666909377123044633430582532553487676198318725363016209395715145652715873672993821321324214495133511523839660252076963575812620445139325801504192855435763796248223634093462191556394268245962744157450504913494653022216667687662424108220556426772029071652555216746199216930495664939297636153175677314826925690007300697360329433950148787148066012718912348377911128435797603854080397581835777696104903104778742475999351632399592162137946481031125035263396843339302732558162875683850970298787969093372845479929397616264959313779317201934415163635407043385908551059646499768745096293890465047675779194970340827590613046601663007796196336628883768044858700584895041860764846860786585281631959105652640573680400848388671875,-249.45901950050131,-120824695780741592014264371265653196272984411997334962100632603033988418183755196120402840154813736674999545417358575002207798460365319435230699423095551289380746461392027257164080507647318515715690650342223247155828549578500861033864336022666191349198896161196408387053809443555939847531457391119312967545238419034654390236337725766984431354895742845730021372253551903773382549372053419270456268498268910939917469958781425325543695032183327175315724538540443070513153379174076620540995940066920713073019547404518618129892869784873486103719169270148757096775532376905485986088449071000684708118070771897380911431644934408959847403924397147270311316261135421511942076428968131765389047752893672363535736706072357365259638634453324314444950358492690163202775625703771676700658031478188752942260416438789362357378164776758805753636705131630657163599212301024694358045881/28322266481815163516833823263681738568520486820513840152919724505595234738534597211504337837211215809299743673245365126880470010961355800906350866606901191530907989453460965678902662081360524150831374221878178341290268114669153683024880904211130126701722376852960096657324718600077504095766802637567486709658995764041397747771470379785912317187525078044130497900287327272935278937446536226916746666478636563537857856177181450379990243144557090466731716132543658181416112057450415165109360986334567889588560638890785105199281693538423123463940597307191146692740530240353546290442028053139314847412431435017204171979429908373270015867113186113582901138067261424782817626784193238599978949725627899169921875,162.630027705612669
55,-18117324626272871534530076953038334526521722752346598342788211627979656010054747166034011917429362697016099969609388252361649406886840108330205055054512577107097326467835467385007519033173892798448832343801573198259103345154971659127997558995392277839564112562151335668563555775028499064458353919697086911612799556475550247906738274673025908968227126285263703404426760031613909806937673690062592086189684779125670368417306418851305759241902253481796318446086214576143555858595076840964622007141891244567043233918266754229017489635678879456744350686912449677957951468461676132679684179198760738590485980182416270085495035279190783563823900488201770789508116567627937282787852388460081832640729644979249379378032706409289866677963259335433184325247465958321475916959075398800472404990455412431009302356442899610058700531779496063250222794019880853809061986724915891495502973020775670620705796191247127658065319926492534722745502731397152899072/48704602769775268058211824701539561845025020163065871723123734464079294016067992564674800236059351085513971111574576213352903264779360946230767886938324404343939319544027096206175201665132328935059020477320817305642507135593635731264725016035601780976655513861499611042273299504704400560746773732939094524758500234885620384394839904425212733093266513180559415059039524073380985489570934307644323105597038904732315012453600279626711693525270681156338177421091163147540721434317874047764192529142241713318171599480992486401426174376054141673949956667944358447706002551049030076659241615272398021542967467051211186734050778305994743931695821974609513527668834344041095319647062829204594530292063116080653414718368040894347359426319599151611328125,656.315074598051143,0.216963661024149138,-2482654070086947931483388491579347878187477149591995780516449011638112156391259869729494239072948350116344630740368380310258543033026781887767136065340106207428699859724801071385114752715815400928434804553338651799313350948653815135465075944041062348333506024731678858345646958104553296628364272057959113034890900535718963663220189648403995551339043356718210718057380592667745852671031114178245115414003207636279609628316144878400549770602308127501681271165437727987/57524437659815614761607838559647311866065602313106271307170631766919546258709370687875265456096566955759011542113898779373382987445883315346943373363926455284215245244948246082348465819265232971380940658785591095737868264042040478068998917033047044120213623830012421262155858152074300294529255769331840249907385692822155208231743083660497460324206327126540410711315832832309344420066972851212616231557879080169037507018590019645528813088263671554968343629912971825927626594431413933909357709044646663373778435745349804191988499990032202837580925129577611790461284998260504513619289623930798614552120936718969208360797062841172098099017521025297460153781419416391853843206967806070140991176204935300120268948376178741455078125,-259.364936172119679,-22330026565878647536162782201082179570311852901424806841363584923049121009505948319233893972223369119342519407351432407097542691580586275409725590980032916504230606110191560904335877625624196629963177825613214817164586018639016972465955655086230858786404299248005867903474530089247604252018990209055492355825059990570018832033649838179758098002449972239180241040997512877007735871446749422037720700001063167943720541505645479954463238356560082918576091546054580746888363192823584656816438886512096036710297029843328922271526847815636619856232841223005352260909627911891686831878435270221086186085562277861061174614792928601364931060497899492269546154924099008872222639057584634405755964325399974252760871800186562872836994382637642635515831796321518469885857561549575371781293215045657688702998031412773649997838441498128185212140125023412427320605848928110625523921520032569385562412999327/100117885147569425711050786588744281296225448123103953454897668448969401640045655626765792043308336676658288428692461325956365539418914910787599412153592184354509131692256518405054986868797042914035467808152565456562339829222553193377135719315870065828095534619034414462831336509007840339764410370923378041975910865549016919257319110425227653200864700042792516823863749047810914041529165686593477336947862741173800650366291868603681958489731120491045260693797472603259614306652970183988379727383361060686194538492456660682741114066065811164113349823351700126732237437558356696843564925295513199759812834738821109858931333981643581266645877831181829279269478417595316727534770351723534218162600989382596313953399658203125,170.348377572588592
56,183094766401761885189790245355223375605169741658592527124824271931836170767012673345587877847172898459452953761631679998288315297230583144705965520528188334233931031522443761059547231174885244850135358267264023402285220382799331841971871422311124560666505575923390594289766145450570672330718423780957541114858960279546180802367283886647651708127191072397885226953896765583301256446695914910778465367295086267472376425673644120578885855534304242131139695896526709036343055162738135225759234087088958134126316869193545735112560531991523822831378867187521413988135426758823262739067782633168152972234988767307311310495158545315569314313295225783400603081216746338562845806921029851795508669529039827526531135945372905627716220065642861904814621954665685133375109949386737315093945648115570013463242135005957047228809491310075407604037933747536524923019188044055305087041083668938527707439329830866607996286857432039286900685050096573637293284449772442950607430262941643068508117229633536/110006608841595490119351549240998084306337756931487922744042722480333807633362309550109949976650132830760663740157509283484252519403231969984122499117424231058914110961532195650011539027247878431639052525007509737440008071951002124909888616943218550070588065151381265061988127897358642076078576378728601266716207127175360039218634669617211605580618999084908929857206317803509484539773913504766681167019397227247436010702599845115931959765642924219749502417958535495296095889277423607719404018574389944585635787487626068763164785279745697189293140752971961382513095240854767093715783449825906403497204352036939232512735240813881461225989361813443622823388637905411317637095734094831701131053650656515038689015177729670384657080768817682635402490097789041101350449025630950927734375,678.408331711804281,0.216329187408100855,35001940813068545314802617746661704694910135520080386981664044788309894689827715890970827305730278129389585038249865194799297448782307553867373869300893348053891423059845959154177564901511268592992809245117849107058261071013305533755411414175364115856753858235233500424756023105634643205542879141383865192846637008208512231107961780830696038402917496545107390853999597036030861389056957194834753434581123874770588886779796770951876843628544114063327573027785478211201132374909648329603085102845852962663554621011/110006608841595490119351549240998084306337756931487922744042722480333807633362309550109949976650132830760663740157509283484252519403231969984122499117424231058914110961532195650011539027247878431639052525007509737440008071951002124909888616943218550070588065151381265061988127897358642076078576378728601266716207127175360039218634669617211605580618999084908929857206317803509484539773913504766681167019397227247436010702599845115931959765642924219749502417958535495296095889277423607719404018574389944585635787487626068763164785279745697189293140752971961382513095240854767093715783449825906403497204352036939232512735240813881461225989361813443622823388637905411317637095734094831701131053650656515038689015177729670384657080768817682635402490097789041101350449025630950927734375,-267.497326650856932,175865740887306844632242995437696946205656404560219402826547404187623062057162820047331390742184912474999974880257107428559119804810271359505490044474181055274617272824832113628991346902711481618862491715665799712857540418674021471411547612851189266633981292776332392631361084214809704601758905091093397307549454790940505554828713210916778809773617249056637440332009266759658265555741776967625836313438294338097451457027800886508704188708851956760585580498836013508185899362054112450882632436940132315006122064832475246459088130599932189493846551250931485023694182280344177370695107025615863019035934404120242032220681875112109487521884448920264798550740074621254957300495813416038997355390552220763166641739725182969263698511304884636901022068572257377791879106798607083968676766603006907417636140685567217306422937589738858909966695165579457315951715933454797013495012335348979411190954308291327795821793240434293681686595400688257/528679090803968273780760472066654525092451059030205603133728539003698630078333748491889292480402253013934644458922018792523720706526584906224246903270956309211974660569917654973847738855150960479826669059045142520635963522499465087325996005669317946038200959237567806030457894136659121403742459172455879613395578087556497397438097558005323900884623378207048713098246840237316520771775466558089148312703752058055694160785968325917482504844295950910048389751883387281880017512719425818221683596418115945795272328598922008198492664220570707551080596185417849383989936451340520905213385935746784654417038244354880907161310097441298453259602700600909857037950380443817214253206213701986901822006648063232126750132433331231815213136777402100451290607452392578125,176.521989111531013
